
THE ENGLISH BOOK DOO
Staro Sajmiçte 29 Beograd
PIB: 101885870

STANJE ZALIHA KOMISION DERETA NA DAN 31.01.19
ARTIKLI: ...

ÄÄÄÄÄÄÄÄÄÄÄÄÄÄ ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ ÄÄÄ ÄÄÄÄÄÄÄÄÄÄ ÄÄÄÄÄÄÄÄÄÄÄÄÄ ÄÄÄÄÄÄÄÄÄÄÄÄÄ
æifra          Naziv artikla                       JM   KOLI^INA      PRO.CENA      VREDNOST
9781405025263  MED 2nd Edition PB+CD Brit Eng      kom          1      3.454,55      3.454,55
9781405312868  Small Garden                        kom          1      2.463,64      2.463,64
9781405344395  Egypt                               kom          1      2.385,46      2.385,46
9781405353724  Children's illustrated encyclo      kom          1      3.510,00      3.510,00
9781405368230  Step-by-Step Baking                 kom          1      2.385,82      2.385,82
9781405368780  Mallorca, Menorca & Ibiza           kom          1      1.912,73      1.912,73
9781405918862  Underworld: Assassin's Creed B      kom          1      1.360,00      1.360,00
9781407109374  Mockingjay                          kom          2      1.360,00      2.720,00
9781407136622  The Dream Thieves                   kom          1      1.363,63      1.363,63
9781407136639  Blue Lily, Lily Blue                kom          1      1.363,63      1.363,63
9781407221427  Selected Poems: Alfred Lord Te      kom          1        445,45        445,45
9781407583884  Disney Classics toy story 3         kom          1        715,75        715,75
9781408711408  Fire and Fury                       kom          1      2.700,00      2.700,00
9781408821985  The Song Of Achilles                kom          2      1.350,00      2.700,00
9781408824856  The Kite Runner                     kom          1      1.121,82      1.121,82
9781408832332  Throne of Glass: 1                  kom          1      1.360,00      1.360,00
9781408834947  Crown of Midnight: 2                kom          2      1.360,00      2.720,00
9781408855706  Harry Potter and the Half-Bloo      kom          2      1.485,45      2.970,90
9781408855713  HP Deathly Hallows                  kom          1      1.050,00      1.050,00
9781408858615  Queen of Shadows                    kom          1      1.360,00      1.360,00
9781408872895  Empire of Storms                    kom          1      1.360,00      1.360,00
9781408880715  Fantastic Beasts and Where to       kom          2      2.210,00      4.420,00
9781408883082  Quidditch Through the Ages          kom          1      1.020,00      1.020,00
9781408883099  The Tales of Beedle the Bard        kom          1      1.020,00      1.020,00
9781408891957  Norse Mythology                     kom          1      1.350,00      1.350,00
9781409117711  The Bourne Ultimatum                kom          1      1.350,00      1.350,00
9781409313755  Hello Kittys Bike Ride              kom          1        709,09        709,09
9781409323495  The Animal Book                     kom          1      2.385,46      2.385,46
9781409328483  Canada                              kom          1      2.463,64      2.463,64
9781409329008  Graet Britain                       kom          1      3.058,30      3.058,30
9781409329114  Portugal                            kom          1      2.463,64      2.463,64
9781409329190  Turkey                              kom          1      2.475,45      2.475,45
9781409329589  The Netherlands                     kom          1      3.058,30      3.058,30
9781409329886  Europe                              kom          1      3.398,30      3.398,30
9781409338062  10 Minute Make-up                   kom          1      1.883,64      1.883,64
9781409343479  BKS Iyengar Yoga The Path to H      kom          1      3.625,00      3.625,00
9781409347552  Spider-Man Character Encyclope      kom          1      1.472,73      1.472,73
9781409368700  Brussels, Bruges, Ghent & Antw      kom          1      2.145,45      2.145,45
9781409369165  Budapest                            kom          1      2.310,00      2.310,00
9781409370567  Denmark                             kom          1      2.548,30      2.548,30
9781409371427  Czech & Slovak Republics            kom          1      2.718,30      2.718,30
9781409374961  PUDDING & DESSERTS                  kom          1        890,91        890,91
9781409386506  Malaysia & Singapore                kom          1      2.718,30      2.718,30
9781409523017  Noisy Knights                       kom          1      1.104,55      1.104,55
9781409545897  Kings and Queens                    kom          1      1.418,18      1.418,18
9781444707861  It                                  kom          1      1.261,82      1.261,82
9781444788952  Strange The Dreamer duologija       kom          1      1.350,00      1.350,00
9781445442303  Disney Cars: 3D Read & Play         kom          1        586,36        586,36
9781445464862  Disney Dumbo Magical Storyÿ         kom          1        471,27        471,27
9781445465463  Disney My First Picture Dictio      kom          2      1.105,00      2.210,00
9781471122668  Since You've Been Gone              kom          1      1.050,00      1.050,00
9781471124709  Amy & Roger's Epic Detour           kom          1      1.050,00      1.050,00
9781471125294  Plunge into the Pirate Pool         kom          1        377,27        377,27
9781471146145  The Unexpected Everything           kom          1      1.200,00      1.200,00
9781471175848  More Happy Than Not                 kom          1      1.200,00      1.200,00
9781472230270  Watchers                            kom          3      1.358,18      4.074,55
9781472305640  Disney Pixar Cars Grand Prix A      kom          1        527,27        527,27
9781472339294  Nickelodeon Teenage Mutant Nin      kom          1        471,27        471,27
9781472342294  Marvel Avengers Assemble Copy       kom          1        527,27        527,27
9781472344700  Disney Planes & Cars Colour Fu      kom          1        268,18        268,18
9781472381958  Disney Pixar Movie Collection;      kom          1        586,36        586,36
9781472381965  Disney Pixar Movie Collection:      kom          1        586,36        586,36
9781472381996  Disney Movie Collection; Snow       kom          1        586,36        586,36
9781472382856  Disney Frozen: Adventure Activ      kom          1        290,91        290,91
9781472389091  Disney Frozen: Adventure Activ      kom          1        290,91        290,91
9781473217409  Count Zero                          kom          1      1.050,00      1.050,00
9781474829403  Disney Frozen: Olaf's Night Be      kom          1        377,27        377,27
9781474836050  Disney Frozen: Art Therapy Col      kom          1        445,45        445,45
9781488901126  colour me masks                     kom          1        731,82        731,82
9781509848621  The Nightingale                     kom          1      1.200,00      1.200,00
9781743088081  Ghostly Glow in the Haunted Ho      kom          1      1.105,45      1.105,45
9781780190044  Ency of Birds of Britain Europ      kom          1        471,27        471,27
9781780220406  The Three Stigmata of Palmer E      kom          1      1.350,00      1.350,00
9781781860359  Disney Princess Cinderella Mag      kom          1        471,27        471,27
9781781866368  Disney Peter Pan Magical Story      kom          1        527,27        527,27
9781782090717  Sticker Playbook - Train            kom          1        586,36        586,36
9781782090724  Sticker Playbook - Fire Engine      kom          1        586,36        586,36
9781783432219  500 quick & easy recipes            kom          1        731,82        731,82
9781783611225  Steampunk                           kom          1        840,91        840,91
9781783611232  Cult Horror                         kom          1        840,91        840,91
9781783936373  My Very First Hide & Seek: Thi      kom          1        445,45        445,45
9781784161446  A Walk In The Woods                 kom          1      1.360,00      1.360,00
9781784703325  The Noise of Time                   kom          2      1.530,00      3.060,00
9781784751845  Conclave                            kom          1      1.190,00      1.190,00
9781784753252  Grey                                kom          4      1.360,00      5.440,00
9781786640369  Exotic Birds: Colour by Number      kom          1        731,82        731,82
9781846557347  Skylight                            kom          1      1.950,00      1.950,00
9781848574175  Ten Tiddly Widdly Tadpoles          kom          1        495,45        495,45
9781907176760  U2                                  kom          1        545,45        545,45
9781907410369  Stephenie M./The Short Second       kom          1      1.683,64      1.683,64
9781907410505  Eclipse                             kom          1      1.121,82      1.121,82
9781908435200  Death Cure 3                        kom          1      1.360,00      1.360,00
9781908497253  A Busy Day with Patches the Pu      kom          1        709,09        709,09
9781908497284  A Busy Day with Tariq the Tige      kom          1        709,09        709,09
9781909531239  If I Stay                           kom          1      1.020,00      1.020,00
9782764316245  LSWD: Disney Pixar                  kom          1      1.277,27      1.277,27
9782764323168  Disney Planes Stuck on Stories      kom          1      1.463,64      1.463,64
---------------------------------------------------------------------------------------------
UKUPNO                                                        273    364.485,48
